,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3
0.5,1.251,1.2506,1.2502,1.2498,1.2494,1.2489,1.2485,1.2481,1.2477,1.2472,1.2468,1.2464,1.2461,1.2457,1.2453
1,1.2427,1.2447,1.2456,1.246,1.2463,1.2465,1.2467,1.2467,1.2468,1.2468,1.2468,1.2468,1.2468,1.2468,1.2468
1.5,1.2453,1.2544,1.2591,1.2621,1.2643,1.266,1.2673,1.2684,1.2693,1.2701,1.2708,1.2714,1.2719,1.2724,1.2729
2,1.1926,1.2027,1.2086,1.2128,1.2159,1.2184,1.2205,1.2223,1.2238,1.2252,1.2264,1.2275,1.2285,1.2294,1.2302
2.5,1.1601,1.1685,1.1736,1.1773,1.1803,1.1827,1.1848,1.1866,1.1882,1.1896,1.1909,1.1921,1.1931,1.1941,1.1951
3,1.1422,1.1483,1.1521,1.1549,1.1571,1.159,1.1606,1.162,1.1632,1.1644,1.1654,1.1664,1.167,1.1681,1.1688
3.5,1.1341,1.1389,1.1418,1.1439,1.1455,1.1469,1.1481,1.1491,1.15,1.1509,1.1516,1.1523,1.153,1.1536,1.1541
4,1.1305,1.1346,1.1371,1.1389,1.1402,1.1414,1.1423,1.1432,1.1439,1.1446,1.1452,1.1458,1.1463,1.1468,1.1472
4.5,1.1289,1.1327,1.135,1.1366,1.1378,1.1389,1.1397,1.1405,1.1412,1.1418,1.1423,1.1428,1.1432,1.1437,1.1441
5,1.1282,1.1319,1.1341,1.1357,1.1369,1.1379,1.1387,1.1394,1.1401,1.1406,1.1411,1.1416,1.142,1.1424,1.1428
5.5,1.1281,1.1318,1.134,1.1355,1.1367,1.1377,1.1385,1.1392,1.1399,1.1404,1.1409,1.1414,1.1418,1.1422,1.1426
6,1.1284,1.1321,1.1343,1.1359,1.1371,1.1381,1.1389,1.1396,1.1403,1.1408,1.1413,1.1418,1.1422,1.1426,1.143
6.5,1.129,1.1328,1.135,1.1366,1.1378,1.1388,1.1397,1.1404,1.1411,1.1417,1.1422,1.1427,1.1431,1.1435,1.1439
7,1.1298,1.1337,1.1359,1.1376,1.1388,1.1399,1.1408,1.1415,1.1422,1.1428,1.1434,1.1439,1.1443,1.1448,1.1452
7.5,1.1308,1.1347,1.1371,1.1388,1.1401,1.1412,1.1421,1.1429,1.1436,1.1442,1.1448,1.1453,1.1458,1.1463,1.1467
8,1.1319,1.136,1.1384,1.1402,1.1415,1.1427,1.1436,1.1445,1.1452,1.1459,1.1465,1.147,1.1475,1.148,1.1484
8.5,1.1331,1.1373,1.1399,1.1417,1.1431,1.1443,1.1453,1.1462,1.147,1.1477,1.1483,1.1489,1.1494,1.1499,1.1504
9,1.1344,1.1388,1.1415,1.1434,1.1449,1.1461,1.1472,1.1481,1.1489,1.1496,1.1503,1.1509,1.1515,1.152,1.1525
9.5,1.1359,1.1405,1.1432,1.1452,1.1468,1.148,1.1491,1.1501,1.1509,1.1517,1.1524,1.153,1.1536,1.1542,1.1547
10,1.1374,1.1422,1.145,1.1471,1.1487,1.1501,1.1512,1.1522,1.1531,1.1539,1.1546,1.1553,1.1559,1.1565,1.157
