time,tank pressure,chamber pressure,nozzle outlet pressure,oxidizer consumption,fuel consumption,oxidizer mass flow,fuel mass flow,O/F,oxidizer mass flow flux,port diameter,fuel recession velocity,experimental c star,throat diameter,gamma,thrust coefficient,nozzle area ratio,thrust,total impulse,
0,4.1e+06,2.02158e+06,283000,0,0,0.168272,0.0327414,5.13942,174.898,0.035,0.00075826,1273.98,0.0127,1.1406,1.45959,3.00081,367.415,0,
0.01,4.09914e+06,2.02131e+06,283000,0.00168272,0.000327414,0.168237,0.0327436,5.13801,174.711,0.0350152,0.000757984,1274.02,0.0127,1.1406,1.45959,3.00081,367.366,3.67391,
0.02,4.09829e+06,2.02143e+06,283000,0.00336526,0.000654839,0.168243,0.0327485,5.13741,174.566,0.0350303,0.00075777,1274.03,0.0127,1.1406,1.45959,3.00081,367.388,7.34768,
0.03,4.09743e+06,2.02116e+06,283000,0.00504766,0.0009823,0.168208,0.0327508,5.136,174.379,0.0350455,0.000757494,1274.06,0.0127,1.1406,1.45959,3.00081,367.339,11.0213,
0.04,4.09658e+06,2.02089e+06,283000,0.00672991,0.0013098,0.168173,0.032753,5.1346,174.192,0.0350606,0.000757218,1274.1,0.0127,1.1406,1.45959,3.00081,367.29,14.6945,
0.05,4.09572e+06,2.02062e+06,283000,0.00841182,0.00163732,0.168139,0.0327552,5.13319,174.006,0.0350758,0.000756943,1274.13,0.0127,1.1406,1.45959,3.00081,367.24,18.3671,
0.06,4.09486e+06,2.02034e+06,283000,0.0100934,0.00196486,0.168104,0.0327575,5.13178,173.82,0.0350909,0.000756668,1274.17,0.0127,1.1406,1.4596,3.00081,367.191,22.0393,
0.07,4.09401e+06,2.02046e+06,283000,0.0117746,0.00229242,0.16811,0.0327624,5.13119,173.676,0.035106,0.000756455,1274.17,0.0127,1.1406,1.4596,3.00081,367.213,25.7113,
0.08,4.09315e+06,2.02019e+06,283000,0.0134557,0.00262002,0.168075,0.0327646,5.12978,173.491,0.0351211,0.00075618,1274.21,0.0127,1.1406,1.4596,3.00081,367.164,29.3832,
0.09,4.09229e+06,2.01992e+06,283000,0.0151366,0.00294765,0.168041,0.0327668,5.12838,173.306,0.0351363,0.000755906,1274.24,0.0127,1.1406,1.4596,3.00081,367.114,33.0546,
0.1,4.09144e+06,2.01965e+06,283000,0.0168172,0.00327531,0.168006,0.032769,5.12697,173.121,0.0351514,0.000755632,1274.28,0.0127,1.1406,1.4596,3.00081,367.065,36.7254,
0.11,4.09058e+06,2.01938e+06,283000,0.0184974,0.00360299,0.167971,0.0327712,5.12557,172.937,0.0351665,0.000755358,1274.31,0.0127,1.1406,1.4596,3.00081,367.016,40.3959,
0.12,4.08973e+06,2.0195e+06,283000,0.0201773,0.00393069,0.167977,0.0327761,5.12498,172.794,0.0351816,0.000755146,1274.32,0.0127,1.1406,1.4596,3.00081,367.038,44.0661,
0.13,4.08887e+06,2.01923e+06,283000,0.021857,0.00425843,0.167942,0.0327783,5.12358,172.61,0.0351967,0.000754873,1274.35,0.0127,1.1406,1.4596,3.00081,366.988,47.7362,
0.14,4.08801e+06,2.01895e+06,283000,0.0235366,0.0045862,0.167907,0.0327805,5.12218,172.427,0.0352118,0.0007546,1274.39,0.0127,1.1406,1.4596,3.00081,366.939,51.4059,
0.15,4.08716e+06,2.01868e+06,282000,0.0252159,0.00491399,0.167873,0.0327827,5.12077,172.243,0.0352269,0.000754327,1274.42,0.0127,1.1406,1.45906,3.00081,366.753,55.0743,
0.16,4.0863e+06,2.01841e+06,282000,0.0268948,0.00524181,0.167838,0.0327849,5.11937,172.06,0.035242,0.000754054,1274.46,0.0127,1.1406,1.45906,3.00081,366.704,58.7416,
0.17,4.08545e+06,2.01853e+06,282000,0.0285733,0.00556965,0.167844,0.0327897,5.11879,171.919,0.035257,0.000753844,1274.47,0.0127,1.1406,1.45906,3.00081,366.726,62.4088,
0.18,4.08459e+06,2.01825e+06,282000,0.0302517,0.00589752,0.167809,0.0327919,5.11739,171.737,0.0352721,0.000753572,1274.5,0.0127,1.1406,1.45906,3.00081,366.676,66.0758,
0.19,4.08373e+06,2.01798e+06,282000,0.03193,0.00622543,0.167774,0.0327941,5.11599,171.554,0.0352872,0.0007533,1274.54,0.0127,1.1406,1.45906,3.00081,366.627,69.7423,
0.2,4.08288e+06,2.01771e+06,282000,0.0336079,0.00655336,0.167739,0.0327962,5.11459,171.372,0.0353022,0.000753028,1274.57,0.0127,1.1406,1.45906,3.00081,366.577,73.4083,
